Dataset,Download,Frequency,URL,Dataset_ID,Fields,Summaries,Mask,Polygon
Bathymetry_CRM_vol10_3s,NO,Climatology,https://upwell.pfeg.noaa.gov/erddap/,noaa_ngdc_c143_8b2d_0582,z,NA,FALSE,FALSE
Bathymetry_CUDEM_MHI_5m,NO,Climatology,https://chs.coast.noaa.gov/htdata/raster2/elevation/NCEI_ninth_Topobathy_Hawaii_9428/,NA,NA,NA,FALSE,FALSE
Bathymetry_ETOPO_2022_v1_15s,NO,Climatology,https://coastwatch.pfeg.noaa.gov/erddap/,ETOPO_2022_v1_15s,z,NA,FALSE,FALSE
Bathymetry_HMRG_MHI_50m,NO,Climatology,https://pae-paha.pacioos.hawaii.edu/erddap/,hmrg_bathy_50m_mhi,z,NA,FALSE,FALSE
Bathymetry_HURL_NWHI_60m,NO,Climatology,https://pae-paha.pacioos.hawaii.edu/erddap/,hurl_bathy_60m_nwhi,elev,NA,FALSE,FALSE
Bathymetry_NGDC_AmericanSamoa_90m,NO,Climatology,https://pae-paha.pacioos.hawaii.edu/erddap/,ngdc_bathy_90m_amsamoa,elev,NA,FALSE,FALSE
Bathymetry_NGDC_Guam_10m,NO,Climatology,https://pae-paha.pacioos.hawaii.edu/erddap/,ngdc_bathy_10m_guam,elev,NA,FALSE,FALSE
Bathymetry_PacIOOS_PIBHMC,NO,Climatology,https://pae-paha.pacioos.hawaii.edu/erddap/,NA,NA,NA,FALSE,FALSE
Bathymetry_PIBHMC_Mariana_Samoa,NO,Climatology,https://pae-paha.pacioos.hawaii.edu/erddap/,NA,NA,NA,FALSE,FALSE
Bathymetry_PIBHMC_Tutuila_5m,NO,Climatology,https://pae-paha.pacioos.hawaii.edu/erddap/,pibhmc_bathy_5m_tutuila,elev,NA,FALSE,FALSE
Bathymetry_SRTMPlus_v1_15s,NO,Climatology,https://coastwatch.pfeg.noaa.gov/erddap/,srtm15plus,z,NA,FALSE,FALSE
Bleaching_Alert_Area_7daymax_CRW_Daily,YES,Daily,https://pae-paha.pacioos.hawaii.edu/erddap/,dhw_5km,CRW_BAA_7D_MAX,mean;q05;q95;sd;mean_annual_range;mean_monthly_range;mean_biweekly_range,FALSE,FALSE
Bleaching_Alert_Area_7daymax_Mask_CRW_Daily,NO,Daily,https://pae-paha.pacioos.hawaii.edu/erddap/,dhw_5km,CRW_BAA_7D_MAX_mask,mean;q05;q95;sd;mean_annual_range;mean_monthly_range;mean_biweekly_range,FALSE,FALSE
Bleaching_Alert_Area_CRW_Daily,YES,Daily,https://pae-paha.pacioos.hawaii.edu/erddap/,dhw_5km,CRW_BAA,mean;q05;q95;sd;mean_annual_range;mean_monthly_range;mean_biweekly_range,FALSE,FALSE
Bleaching_Alert_Area_Mask_CRW_Daily,NO,Daily,https://pae-paha.pacioos.hawaii.edu/erddap/,dhw_5km,CRW_BAA_mask,mean;q05;q95;sd;mean_annual_range;mean_monthly_range;mean_biweekly_range,FALSE,FALSE
Bleaching_Hotspot_CRW_Daily,YES,Daily,https://pae-paha.pacioos.hawaii.edu/erddap/,dhw_5km,CRW_HOTSPOT,mean;q05;q95;sd;mean_annual_range;mean_monthly_range;mean_biweekly_range,FALSE,FALSE
Bleaching_Hotspot_Mask_CRW_Daily,NO,Daily,https://pae-paha.pacioos.hawaii.edu/erddap/,dhw_5km,CRW_HOTSPOT_mask,mean;q05;q95;sd;mean_annual_range;mean_monthly_range;mean_biweekly_range,FALSE,FALSE
Chlorophyll_A_ESA_OC_CCI_v6.0_8Day,YES,8day,https://coastwatch.pfeg.noaa.gov/erddap/,pmlEsaCCI60OceanColor8Day,chlor_a,mean;q05;q95;sd;mean_annual_range;mean_monthly_range,TRUE,TRUE
Chlorophyll_A_ESA_OC_CCI_v6.0_Clim,NO,Climatology,https://oceanwatch.pifsc.noaa.gov/erddap/,esa-cci-chla-2022-clim_v6-0,chlor_a,NA,TRUE,FALSE
Chlorophyll_A_ESA_OC_CCI_v6.0_Monthly,YES,Monthly,https://coastwatch.pfeg.noaa.gov/erddap/,pmlEsaCCI60OceanColorMonthly,chlor_a,mean;q05;q95;sd;mean_annual_range,TRUE,FALSE
Chlorophyll_A_NPP_VIIRS_Monthly,YES,Monthly,https://oceanwatch.pifsc.noaa.gov/erddap/,noaa_snpp_chla_monthly_750m_v2023,chlor_a,mean;q05;q95;sd;mean_annual_range,TRUE,FALSE
Chlorophyll_A_NPP_VIIRS_Weekly,YES,Weekly,https://oceanwatch.pifsc.noaa.gov/erddap/,noaa_snpp_chla_weekly_750m_v2023,chlor_a,mean;q05;q95;sd;mean_annual_range;mean_monthly_range;mean_biweekly_range,TRUE,FALSE
Degree_Heating_Weeks_CRW_Daily,YES,Daily,https://oceanwatch.pifsc.noaa.gov/erddap/,CRW_dhw_v1_0,degree_heating_week,DHW.Np10y;DHW.Np10y_Major;DHW.MeanMax;DHW.MeanMax_Major;DHW.CI95Max;DHW.CI95Max_Major;DHW.MeanDur;DHW.MeanDur_Major;DHW.MaxMax;DHW.MaxMax_Major;DHW.YearsToLast;DHW.YearsToLast_Major,FALSE,TRUE
Downward_Heat_Flux_GODAS_Monthly,YES,Monthly,https://apdrc.soest.hawaii.edu/erddap/,hawaii_soest_c3cb_fec8_afa5,thflxsfc,mean;q05;q95;sd;mean_annual_range,FALSE,FALSE
Isothermal_Layer_Depth_GODAS_Monthly,YES,Monthly,https://apdrc.soest.hawaii.edu/erddap/,hawaii_soest_93a6_4907_ab65,dbssbitl,mean;q05;q95;sd;mean_annual_range,FALSE,FALSE
Kd490_ESA_OC_CCI_8Day,YES,8day,https://oceanwatch.pifsc.noaa.gov/erddap/,esa-cci-kd-8d-v6-0,kd_490,mean;q05;q95;sd;mean_annual_range;mean_monthly_range,TRUE,FALSE
Kd490_ESA_OC_CCI_Monthly,YES,Monthly,https://oceanwatch.pifsc.noaa.gov/erddap/,esa-cci-kd-monthly-v6-0,kd_490,mean;q05;q95;sd;mean_annual_range,TRUE,TRUE
Kd490_NOAA_VIIRS_Monthly,YES,Monthly,https://coastwatch.pfeg.noaa.gov/erddap/,nesdisVHNSQkd490Monthly,kd_490,mean;q05;q95;sd;mean_annual_range,TRUE,TRUE
Kd490_NOAA_VIIRS_Weekly,NO,Weekly,https://coastwatch.pfeg.noaa.gov/erddap/,nesdisVHNSQkd490Weekly,kd_490,mean;q05;q95;sd;mean_annual_range;mean_monthly_range;mean_biweekly_range,TRUE,FALSE
KdPAR_NOAA_VIIRS_Monthly,YES,Monthly,https://coastwatch.pfeg.noaa.gov/erddap/,nesdisVHNSQkdparMonthly,kd_par,mean;q05;q95;sd;mean_annual_range,TRUE,TRUE
KdPAR_NOAA_VIIRS_Weekly,NO,Weekly,https://coastwatch.pfeg.noaa.gov/erddap/,nesdisVHNSQkdparWeekly,kd_par,mean;q05;q95;sd;mean_annual_range;mean_monthly_range;mean_biweekly_range,TRUE,FALSE
Marine_Heatwave_CRW_Daily,YES,Daily,https://pae-paha.pacioos.hawaii.edu/erddap/,mhw_5km,heatwave_category,mean;q05;q95;sd;mean_annual_range;mean_monthly_range;mean_biweekly_range,FALSE,FALSE
Median_Phytoplankton_Size_NOAA_PIFSC_Monthly,YES,Monthly,https://oceanwatch.pifsc.noaa.gov/erddap/,md50_exp,MD50,mean;q05;q95;sd;mean_annual_range,FALSE,FALSE
Mixed_Layer_Depth_GODAS_Monthly,YES,Monthly,https://apdrc.soest.hawaii.edu/erddap/,hawaii_soest_13c5_96ef_e443,dbssbmxl,mean;q05;q95;sd;mean_annual_range,FALSE,FALSE
PAR_Aqua_MODIS_8Day,YES,8day,https://coastwatch.pfeg.noaa.gov/erddap/,erdMH1par08day,par,mean;q05;q95;sd;mean_annual_range;mean_monthly_range,TRUE,TRUE
PAR_Aqua_MODIS_Monthly,YES,Monthly,https://coastwatch.pfeg.noaa.gov/erddap/,erdMH1par0mday,par,mean;q05;q95;sd;mean_annual_range,TRUE,FALSE
PAR_NASA_VIIRS_8Day,YES,8day,https://coastwatch.pfeg.noaa.gov/erddap/,erdVH2018par8day,par,mean;q05;q95;sd;mean_annual_range;mean_monthly_range,TRUE,TRUE
PAR_NASA_VIIRS_Monthly,YES,Monthly,https://coastwatch.pfeg.noaa.gov/erddap/,erdVH2018parmday,par,mean;q05;q95;sd;mean_annual_range,TRUE,FALSE
Precipitation_CHIRPS_Daily,YES,Daily,https://coastwatch.pfeg.noaa.gov/erddap/,chirps20GlobalDailyP05,precip,mean;q05;q95;sd;mean_annual_range;mean_monthly_range;mean_biweekly_range,FALSE,FALSE
Precipitation_TRMM_Daily,NO,Daily,https://oceanwatch.pifsc.noaa.gov/erddap/,hawaii_soest_5687_3d16_a6d4,precipitation,mean;q05;q95;sd;mean_annual_range;mean_monthly_range;mean_biweekly_range,FALSE,FALSE
Sea_Surface_Height_GODAS_Monthly,YES,Monthly,https://apdrc.soest.hawaii.edu/erddap/,hawaii_soest_2ee3_0bfa_a8d6,sshgsfc,mean;q05;q95;sd;mean_annual_range,FALSE,FALSE
Sea_Surface_Salinity_MirasSMOS_3Day,YES,3day,https://oceanwatch.pifsc.noaa.gov/erddap/,noaacwSMOSsss3day,sss,mean;q05;q95;sd;mean_annual_range;mean_monthly_range;mean_biweekly_range,FALSE,FALSE
Sea_Surface_Temperature_AVHRR_Daily,NO,Daily,https://coastwatch.pfeg.noaa.gov/erddap/,ncdcOisst21Agg,sst,mean;q05;q95;sd;mean_annual_range;mean_monthly_range;mean_biweekly_range,FALSE,FALSE
Sea_Surface_Temperature_CRW_1985-2022_Clim,NO,Climatology,https://oceanwatch.pifsc.noaa.gov/erddap/,CRW_sst_v3_1_2022-clim,sea_surface_temperature,NA,FALSE,FALSE
Sea_Surface_Temperature_CRW_Daily,YES,Daily,https://coastwatch.pfeg.noaa.gov/erddap/,NOAA_DHW,CRW_SST,mean;q05;q95;sd;mean_annual_range;mean_monthly_range;mean_biweekly_range,FALSE,TRUE
Sea_Surface_Temperature_Anomaly_CRW_Daily,YES,Daily,https://oceanwatch.pifsc.noaa.gov/erddap/,CRW_sst_anom_v1_0,sea_surface_temperature_anomaly,mean;q05;q95;sd;mean_annual_range;mean_monthly_range;mean_biweekly_range,,
Sea_Surface_Temperature_jplMUR_Daily,NO,Daily,https://coastwatch.pfeg.noaa.gov/erddap/,jplMURSST41,analysed_sst,mean;q05;q95;sd;mean_annual_range;mean_monthly_range;mean_biweekly_range,FALSE,FALSE
Sea_Surface_Temperature_OISST_Monthly,NO,Monthly,https://upwell.pfeg.noaa.gov/erddap/,noaa_psl_4af9_4ab0_ab10,sst,mean;q05;q95;sd;mean_annual_range,FALSE,FALSE
Sea_Water_Practical_Salinity_GODAS_Monthly,NO,Monthly,https://apdrc.soest.hawaii.edu/erddap/,hawaii_soest_3ff6_7059_f5e9,saltydsl,mean;q05;q95;sd;mean_annual_range,FALSE,FALSE
Wave_Height_SWAN_Oah_Hourly,NO,1hour,https://pae-paha.pacioos.hawaii.edu/erddap/,swan_oahu,shgt,mean;q05;q95;sd;mean_annual_range;mean_monthly_range;mean_biweekly_range,FALSE,FALSE
Wave_Height_WW3_Global_Hourly,YES,1hour,https://pae-paha.pacioos.hawaii.edu/erddap/,ww3_global,Thgt,mean;q05;q95;sd;mean_annual_range;mean_monthly_range;mean_biweekly_range,FALSE,FALSE
Wave_Height_WW3_HI_Hourly,YES,1hour,https://pae-paha.pacioos.hawaii.edu/erddap/,ww3_HI,Thgt,mean;q05;q95;sd;mean_annual_range;mean_monthly_range;mean_biweekly_range,FALSE,FALSE
Wave_Period_WW3_Global_Hourly,YES,1hour,https://pae-paha.pacioos.hawaii.edu/erddap/,ww3_global,Tper,mean;q05;q95;sd;mean_annual_range;mean_monthly_range;mean_biweekly_range,FALSE,FALSE
Wave_Period_WW3_HI_Hourly,YES,1hour,https://pae-paha.pacioos.hawaii.edu/erddap/,ww3_HI,Tper,mean;q05;q95;sd;mean_annual_range;mean_monthly_range;mean_biweekly_range,FALSE,FALSE
Wind_Speed_ASCAT_Daily,YES,Daily,https://oceanwatch.pifsc.noaa.gov/erddap/,ascat_daily_apdrc,wsp,mean;q05;q95;sd;mean_annual_range;mean_monthly_range;mean_biweekly_range,FALSE,FALSE
Wind_Speed_AVHRR_Daily,NO,Daily,https://coastwatch.pfeg.noaa.gov/erddap/,nceiPH53sstd1day,wind_speed,mean;q05;q95;sd;mean_annual_range;mean_monthly_range;mean_biweekly_range,FALSE,FALSE
Wind_Speed_Eastward_ASCAT_Daily,YES,Daily,https://oceanwatch.pifsc.noaa.gov/erddap/,ascat_daily_apdrc,uwnd,mean;q05;q95;sd;mean_annual_range;mean_monthly_range;mean_biweekly_range,FALSE,FALSE
Wind_Speed_Eastward_NCEI_Daily,NO,Daily,https://coastwatch.noaa.gov/erddap/,noaacwBlendedWindsDaily,u_wind,mean;q05;q95;sd;mean_annual_range;mean_monthly_range;mean_biweekly_range,FALSE,FALSE
Wind_Speed_NCEI_Daily,NO,Daily,https://coastwatch.noaa.gov/erddap/,noaacwBlendedWindsDaily,windspeed,mean;q05;q95;sd;mean_annual_range;mean_monthly_range;mean_biweekly_range,FALSE,FALSE
Wind_Speed_Northward_ASCAT_Daily,YES,Daily,https://oceanwatch.pifsc.noaa.gov/erddap/,ascat_daily_apdrc,vwnd,mean;q05;q95;sd;mean_annual_range;mean_monthly_range;mean_biweekly_range,FALSE,FALSE
Wind_Speed_Northward_NCEI_Daily,NO,Daily,https://coastwatch.noaa.gov/erddap/,noaacwBlendedWindsDaily,v_wind,mean;q05;q95;sd;mean_annual_range;mean_monthly_range;mean_biweekly_range,FALSE,FALSE